entropy,skewness,interquartile_range,kurtosis,percentile_75,range,maximum,median,percentile_90,mean_absolute_deviation,session,timestamp,device_label
2.385988827783903,10.590916220008102,4.7968543734973725e-08,118.95433754125692,5.265983260913271e-08,0.00028173737768032436,0.00028173820892737054,1.0275531877459378e-08,3.291584177665684e-07,4.625437384126597e-06,44,2024-12-02T14:23:26.720503,empty
2.374552665070828,10.708639507182586,4.338227210916281e-08,122.48373651449522,4.806540323576377e-08,0.00029081215864261775,0.00029081303953127957,9.5274629441026e-09,3.172759317300617e-07,4.689117401016945e-06,45,2024-12-02T14:23:29.141301,empty
2.384542147004429,10.695576979635433,4.579829664554243e-08,122.19192682135775,4.943108174953388e-08,0.00028648443072416216,0.00028648519451612327,8.287755541131353e-09,3.236936942974502e-07,4.6937086286735555e-06,46,2024-12-02T14:23:32.504317,empty
2.357244290357274,10.162968930869418,4.726240120302063e-08,108.49885250576918,5.090839116009922e-08,0.00027553599771737994,0.0002755367714334686,8.236132931921468e-09,2.5332718010325384e-07,4.873285263796031e-06,47,2024-12-02T14:23:37.458744,empty
2.349196070006304,10.173995784374327,4.316535334745073e-08,108.62588441613453,4.7113905497995115e-08,0.00027848948743943515,0.0002784902452110516,7.391960049686141e-09,2.8836370331895926e-07,4.87512172940233e-06,48,2024-12-02T14:23:39.548782,empty
2.389138846383253,10.562193275547076,4.9724268940161753e-08,118.24066801413764,5.356974115478484e-08,0.00027918939733613367,0.000279190143066428,8.802849820554351e-09,3.2337165906056794e-07,4.6566814378025384e-06,49,2024-12-02T14:23:41.902557,empty
2.383043755520493,10.795600229507743,4.392907015074241e-08,124.76685800838959,4.8018876788027906e-08,0.00029021485914091684,0.00029021548248746505,8.95811249793521e-09,2.96817134014581e-07,4.662652684702435e-06,50,2024-12-02T14:23:44.250663,empty
2.3787927167087317,10.697765716451613,4.280258374847153e-08,122.40306132647545,4.655782377360312e-08,0.0002896923111497586,0.000289693035105762,8.249723314340396e-09,3.058622376091517e-07,4.7062995232906655e-06,51,2024-12-02T14:23:46.412407,empty
2.3521455334694874,10.130660487494001,4.357517259840742e-08,107.5469517947238,4.7209519929781653e-08,0.00027530309301229087,0.0002753038875186697,7.502232413710174e-09,2.7339714927441573e-07,4.8890884168901256e-06,52,2024-12-02T14:23:48.643160,empty
2.379345326373669,10.728402568364334,4.555489012017513e-08,122.98016804483657,4.953065848429364e-08,0.0002863894597215177,0.000286390065146037,8.000045778196696e-09,3.063386639842893e-07,4.67459526731197e-06,53,2024-12-02T14:23:50.837529,empty
